Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off
Rajiv van La Parra,nl NED,FWMF,27,5,405,81,11.8,4.5,5,81,3,0,,5,0.60,2,6,-4,-0.89,+0.60,2.9,4.2,-1.3,-0.28,+0.64
Jason Puncheon,eng ENG,MF,32,6,382,64,11.2,4.2,5,72,3,1,23,2,0.17,0,9,-9,-2.12,-0.79,3.2,5.1,-1.9,-0.46,+0.44
Danny Williams,us USA,MF,29,5,96,19,2.8,1.1,1,73,0,4,6,5,0.60,0,1,-1,-0.94,+0.50,0.5,1.4,-0.9,-0.88,-0.03
Joel Coleman,eng ENG,GK,22,1,90,90,2.6,1.0,1,90,1,0,,7,1.00,1,1,0,0.00,+1.46,0.7,0.6,+0.1,+0.11,+0.98
Aaron Rowe,eng ENG,FW,17,2,69,35,2.0,0.8,1,55,0,1,14,2,0.00,2,1,+1,+1.30,+2.78,0.4,1.8,-1.4,-1.87,-1.04
Abdelhamid Sabiri,ma MAR,FW,21,2,48,24,1.4,0.5,1,45,0,1,3,0,0.00,1,3,-2,-3.75,-2.36,0.6,1.5,-0.9,-1.76,-0.93
Demeaco Duhaney,eng ENG,DF,19,1,45,45,1.3,0.5,1,45,0,0,,1,3.00,0,0,0,0.00,+1.44,0.2,0.5,-0.3,-0.66,+0.19
Ramadan Sobhi,eg EGY,FWMF,21,4,79,20,2.3,0.9,0,,0,4,19,5,0.00,0,2,-2,-2.28,-0.88,0.5,2.0,-1.5,-1.77,-0.94
Matty Daly,eng ENG,MF,17,2,75,38,2.2,0.8,0,,0,2,37,6,0.50,1,1,0,0.00,+1.45,0.9,1.0,-0.1,-0.09,+0.77
Collin Quaner,de GER,FW,27,2,39,20,1.1,0.4,0,,0,2,19,2,0.00,1,2,-1,-2.31,-0.90,0.7,0.6,+0.1,+0.23,+1.08
Ryan Schofield,eng ENG,GK,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
Squad Total,,,26.2,38,3420,90,100,38.0,418,84,,107,22,159,0.42,22,76,-54,-1.42,,28.8,60.9,-32.2,-0.85,
