Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Marvelous Nakamba,zw ZIM,MF,25.0,55,28,20,7,24,67,35.8,43,50,11,39,94,38,3,5,0,0,26,24,0,4,0,0,0,155,22,28,44.0,663,793,83.6,10776,2708,332,376,88.3,274,308,89.0,43,69,62.3,0,0.5,0.5,-0.5,12,48,4,0,39,29,1836.0,63.0,53.7,19,83.0,10.0,10,27.0,5,0.93,24.0,37.0,-13.0,-0.64,0.1,23.9,38.9,-15.0,-0.73,-0.25,0,7,1,14.3,0.34,0.05,0.0,0.0,29.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,23,1.13,22,1,0,0,0,0,1,0.05,1,0,0,0,0,0
Conor Hourihane,ie IRL,MF,28.0,16,4,8,4,10,25,40.0,15,19,4,15,25,31,0,4,0,0,14,21,4,112,1,0,0,72,12,8,60.0,547,739,74.0,9334,3163,240,282,85.1,238,287,82.9,47,115,40.9,5,6.0,4.3,-1.0,38,52,16,4,50,27,1534.0,57.0,44.9,18,75.0,4.0,9,20.0,10,1.04,20.0,29.0,-9.0,-0.53,0.28,21.4,26.3,-4.9,-0.29,0.6,3,29,10,34.5,1.7,0.59,0.1,0.3,21.4,6,0,0,1.7,1.7,0.06,1.3,1.3,61,3.58,29,26,0,3,3,0,7,0.41,3,4,0,0,0,0
Kortney Hause,eng ENG,DF,24.0,21,15,5,1,8,15,53.3,7,27,19,8,41,98,4,3,0,0,24,9,1,0,0,0,0,109,99,35,73.9,607,825,73.6,11420,4829,248,303,81.8,275,323,85.1,77,163,47.2,0,0.5,0.3,-0.5,2,44,1,0,36,18,1545.0,86.0,45.2,17,90.0,17.0,1,15.0,2,0.72,14.0,34.0,-20.0,-1.17,-0.88,17.8,30.7,-12.9,-0.75,-0.24,1,20,3,15.0,1.17,0.17,0.05,0.33,8.3,0,0,0,2.5,2.5,0.13,-1.5,-1.5,8,0.47,7,0,0,1,0,0,1,0.06,0,0,0,1,0,0
BjÃ¶rn Engels,be BEL,DF,24.0,11,8,2,1,8,13,61.5,5,18,17,1,39,86,3,1,0,0,5,5,1,2,0,2,0,53,54,27,66.7,548,653,83.9,11293,4152,170,191,89.0,301,334,90.1,74,118,62.7,0,0.3,0.2,-0.3,2,46,1,1,35,17,1447.0,85.0,42.3,15,89.0,14.0,2,57.0,4,0.65,20.0,32.0,-12.0,-0.75,-0.11,21.7,32.9,-11.2,-0.7,-0.14,1,8,1,12.5,0.5,0.06,0.13,1.0,7.8,0,0,0,1.0,0.9,0.11,0.0,0.1,11,0.68,10,0,0,1,0,0,1,0.06,1,0,0,0,0,0
Neil Taylor,wls WAL,DF,30.0,16,12,4,0,11,20,55.0,9,15,5,10,36,43,0,2,0,0,8,6,0,9,0,0,0,56,9,15,37.5,410,522,78.5,5944,2497,230,249,92.4,153,193,79.3,13,39,33.3,0,0.4,0.2,-0.4,5,22,4,1,29,14,1091.0,78.0,31.9,11,85.0,10.0,3,52.0,13,0.79,11.0,25.0,-14.0,-1.15,-0.69,12.2,20.2,-8.0,-0.66,-0.06,0,3,0,0.0,0.25,0.0,0.0,,15.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,9,0.74,9,0,0,0,0,0,2,0.16,2,0,0,0,0,0
Ahmed Elmohamady,eg EGY,DF,31.0,19,10,7,2,10,21,47.6,11,11,5,6,32,25,1,1,0,0,13,5,2,58,0,0,0,73,29,21,58.0,496,657,75.5,8552,3169,246,268,91.8,182,251,72.5,57,104,54.8,1,2.8,2.1,-1.8,22,44,25,18,37,18,1031.0,57.0,30.1,11,81.0,9.0,7,19.0,14,0.89,11.0,28.0,-17.0,-1.48,-1.14,12.4,24.5,-12.1,-1.06,-0.63,1,5,1,20.0,0.44,0.09,0.2,1.0,11.1,0,0,0,0.2,0.2,0.05,0.8,0.8,36,3.14,33,3,0,0,0,0,1,0.09,1,0,0,0,0,0
Mbwana Samatta,tz TAN,FW,26.0,6,0,3,3,1,8,12.5,7,7,0,7,7,6,0,1,0,0,9,18,8,3,0,0,0,24,40,72,35.7,119,176,67.6,1547,235,76,99,76.8,27,50,54.0,9,10,90.0,0,0.6,0.2,-0.6,10,8,2,0,9,14,943.0,67.0,27.6,11,79.0,5.0,3,24.0,0,0.71,7.0,18.0,-11.0,-1.05,-0.5,11.0,16.2,-5.1,-0.49,0.18,1,17,3,17.6,1.62,0.29,0.06,0.33,10.8,0,0,0,2.3,2.3,0.14,-1.3,-1.3,17,1.62,11,0,1,1,3,1,0,0.0,0,0,0,0,0,0
Keinan Davis,eng ENG,FW,21.0,1,0,1,0,0,3,0.0,3,4,0,4,1,3,0,0,0,0,12,11,3,2,0,0,0,15,27,46,37.0,101,139,72.7,1190,176,79,99,79.8,15,25,60.0,3,3,100.0,0,0.2,0.1,-0.2,5,7,2,0,6,18,548.0,30.0,16.0,4,70.0,0.0,14,19.0,3,0.83,6.0,7.0,-1.0,-0.16,0.62,8.4,6.3,2.1,0.35,1.15,0,17,5,29.4,2.79,0.82,0.0,0.0,9.6,0,0,0,2.7,2.7,0.16,-2.7,-2.7,18,2.96,9,0,1,4,4,0,3,0.49,1,0,0,1,1,0
Jota,es ESP,FWMF,28.0,3,2,0,1,2,5,40.0,3,1,0,1,6,6,0,0,0,0,6,2,0,2,0,0,0,26,1,2,33.3,75,98,76.5,1213,475,43,48,89.6,22,33,66.7,9,12,75.0,1,0.6,0.6,0.4,4,11,6,0,15,10,335.0,34.0,9.8,4,61.0,0.0,6,15.0,11,0.7,1.0,5.0,-4.0,-1.07,-0.43,3.2,5.7,-2.5,-0.66,-0.04,0,6,1,16.7,1.61,0.27,0.0,0.0,18.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,9,2.42,8,0,0,0,1,0,1,0.27,1,0,0,0,0,0
Danny Drinkwater,eng ENG,MF,29.0,5,3,2,0,2,18,11.1,16,5,0,5,10,5,1,1,0,0,7,1,0,1,0,0,0,30,0,4,0.0,138,169,81.7,2447,567,67,79,84.8,54,59,91.5,16,22,72.7,0,0.0,0.1,0.0,1,18,1,0,9,4,259.0,65.0,7.6,4,65.0,0.0,0,,3,1.0,2.0,9.0,-7.0,-2.43,-1.89,2.3,7.3,-4.9,-1.72,-1.19,0,2,0,0.0,0.69,0.0,0.0,,18.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,4,1.39,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Henri Lansbury,eng ENG,MF,28.0,6,3,1,2,2,8,25.0,6,4,0,4,6,3,0,0,0,0,4,1,0,1,0,0,0,10,2,5,28.6,64,83,77.1,1163,215,29,33,87.9,25,36,69.4,8,10,80.0,0,0.1,0.2,-0.1,2,7,0,0,3,10,195.0,20.0,5.7,2,69.0,0.0,8,7.0,19,1.0,2.0,6.0,-4.0,-1.85,-1.23,2.4,4.5,-2.1,-0.98,-0.38,0,2,0,0.0,0.92,0.0,0.0,,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2,0.93,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jonathan Kodjia,ci CIV,FW,29.0,0,0,0,0,0,1,0.0,1,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,2,6,3,66.7,15,27,55.6,183,3,12,16,75.0,3,5,60.0,0,2,0.0,0,0.1,0.1,-0.1,1,1,0,0,0,6,117.0,20.0,3.4,0,,0.0,6,20.0,6,0.5,1.0,6.0,-5.0,-3.85,-3.27,1.9,4.3,-2.4,-1.82,-1.25,0,2,0,0.0,1.54,0.0,0.0,,19.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,4,3.05,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Indiana Vassilev,us USA,FWMF,18.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,,8,12,66.7,89,4,5,5,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,4,51.0,13.0,1.5,0,,0.0,4,13.0,8,1.0,2.0,1.0,1.0,1.76,2.49,0.7,1.1,-0.4,-0.72,-0.1,0,1,0,0.0,1.76,0.0,0.0,,21.9,0,0,0,0.0,0.0,0.03,0.0,0.0,1,1.76,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Borja BastÃ³n,es ESP,MFFW,26.0,1,0,1,0,0,2,0.0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,4,6,66.7,75,25,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,2,18.0,9.0,0.5,0,,0.0,2,9.0,3,0.0,0.0,2.0,-2.0,-10.0,-9.37,0.0,1.3,-1.3,-6.33,-5.74,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,25.7,523,285,174,64,223,597,37.4,374,456,184,272,946,928,26,70,1,1,451,525,62,798,2,6,1,1900,705,742,48.7,11652,15672,74.3,217478,84199,5074,5895,86.1,4810,5882,81.8,1480,3002,49.3,32,34.2,27.7,-2.2,369,908,270,95,899,38,3420.0,90.0,100.0,418,84.0,,113,22.0,173,0.92,41.0,67.0,-26.0,-0.68,,44.3,67.8,-23.5,-0.62,,40,453,147,32.5,11.92,3.87,0.09,0.27,17.5,21,1,3,44.3,41.8,0.09,-4.3,-2.8,827,21.76,599,87,42,36,56,7,72,1.89,48,8,5,4,7,0
