Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Ciaran Clark,ie IRL,DF,27.0,25,17,8,0,11,21,52.4,10,15,10,5,42,144,1,3.0,0.0,0,17,13,0,2,0,2,0,95,38,37,50.7,511,715,71.5,10211,4381,171,199,85.9,251,308,81.5,71,176,40.3,1,0.7,0.4,0.3,4,43,3,0,27,20,1746.0,87.0,51.1,19,,19.0,1,,14,1.05,21.0,30.0,-9.0,-0.46,-0.52,22.5,30.0,-7.5,-0.39,-0.21,2,11,3,27.3,0.57,0.15,0.18,0.67,8.7,0,0,0,1.7,1.7,0.16,0.3,0.3,14,0.72,10,2,0,0,1,1,1,0.05,1,0,0,0,0,0
Joselu,es ESP,FW,27.0,22,10,11,1,7,34,20.6,27,25,2,23,33,39,0,2.0,0.0,0,30,23,3,6,0,0,0,54,144,120,54.5,374,605,61.8,4732,1098,259,377,68.7,82,153,53.6,13,23,56.5,1,1.2,0.5,-0.2,16,34,6,1,31,30,1712.0,57.0,50.1,19,,4.0,11,,4,1.2,20.0,25.0,-5.0,-0.26,-0.1,18.5,26.2,-7.7,-0.41,-0.25,4,46,16,34.8,2.42,0.84,0.09,0.25,15.9,0,0,1,6.0,5.2,0.11,-2.0,-1.2,40,2.1,33,0,1,2,4,0,1,0.05,1,0,0,0,0,0
Paul Dummett,wls WAL,DF,25.0,28,21,7,0,13,27,48.1,14,27,10,17,51,107,1,1.0,0.0,0,8,11,0,22,0,1,0,73,54,34,61.4,535,779,68.7,8906,4389,252,304,82.9,223,305,73.1,43,119,36.1,0,0.3,0.6,-0.3,6,50,7,3,49,20,1602.0,80.0,46.8,19,,17.0,1,,2,1.3,19.0,18.0,1.0,0.06,0.5,21.3,24.6,-3.3,-0.19,0.19,0,4,0,0.0,0.22,0.0,0.0,,14.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3,13,0.73,12,0,0,1,0,0,2,0.11,2,0,0,0,0,0
Isaac Hayden,eng ENG,MF,22.0,40,23,16,1,12,34,35.3,22,21,6,15,63,43,0,7.0,0.0,0,30,12,0,17,0,0,0,69,48,44,52.2,405,550,73.6,6070,1768,226,279,81.0,142,183,77.6,20,41,48.8,0,0.6,1.2,-0.6,11,37,12,5,35,26,1374.0,53.0,40.2,15,,8.0,11,,8,1.27,12.0,25.0,-13.0,-0.85,-1.07,15.3,24.0,-8.8,-0.57,-0.48,1,14,9,64.3,0.92,0.59,0.07,0.11,22.1,0,0,0,1.0,1.0,0.07,0.0,0.0,28,1.83,22,0,2,2,0,2,2,0.13,2,0,0,0,0,0
Mikel Merino,es ESP,MF,21.0,56,21,32,3,17,56,30.4,39,36,8,28,90,25,0,4.0,0.0,0,30,29,0,3,0,0,0,139,38,39,49.4,645,818,78.9,10947,3524,281,342,82.2,268,314,85.4,61,105,58.1,1,0.9,0.7,0.1,16,84,14,0,88,24,1347.0,56.0,39.4,14,,8.0,10,,7,0.92,14.0,18.0,-4.0,-0.27,-0.09,15.5,18.6,-3.1,-0.21,0.13,1,16,6,37.5,1.07,0.4,0.06,0.17,25.5,0,0,0,0.6,0.6,0.04,0.4,0.4,47,3.14,41,1,0,2,1,2,4,0.27,3,0,0,1,0,0
Jacob Murphy,eng ENG,MFFW,22.0,13,5,4,4,7,27,25.9,20,16,0,16,19,13,2,0.0,0.0,0,8,9,0,40,0,0,0,82,7,24,22.6,194,325,59.7,2872,1007,117,158,74.1,53,87,60.9,14,45,31.1,1,1.3,1.0,-0.3,10,15,14,5,28,25,1148.0,46.0,33.6,13,,5.0,12,,11,0.88,10.0,25.0,-15.0,-1.18,-1.45,12.0,22.7,-10.7,-0.84,-0.84,1,22,7,31.8,1.72,0.55,0.05,0.14,22.3,0,0,0,1.8,1.8,0.08,-0.8,-0.8,28,2.2,18,1,4,3,2,0,3,0.24,2,0,0,1,0,0
Kenedy,br BRA,MFDF,21.0,31,16,13,2,12,35,34.3,23,12,1,11,45,11,0,1.0,0.0,0,15,20,0,38,1,0,0,84,2,17,10.5,297,408,72.8,4218,1296,174,208,83.7,84,119,70.6,20,41,48.8,2,1.7,1.8,0.3,13,14,12,6,16,13,1023.0,79.0,29.9,13,,6.0,0,,0,1.38,13.0,9.0,4.0,0.35,0.8,14.2,12.0,2.2,0.19,0.68,2,23,5,21.7,2.02,0.44,0.09,0.4,21.6,1,0,0,2.4,2.4,0.1,-0.4,-0.4,38,3.34,20,7,5,3,2,1,3,0.26,1,1,0,1,0,0
Chancel Mbemba,cd COD,DF,22.0,16,13,3,0,10,17,58.8,7,7,3,4,31,44,1,0.0,0.0,0,5,4,0,7,0,0,0,34,19,17,52.8,202,276,73.2,3454,1490,102,120,85.0,81,107,75.7,18,39,46.2,0,0.5,0.5,-0.5,4,11,6,4,17,9,672.0,75.0,19.6,7,,5.0,2,,3,1.11,8.0,11.0,-3.0,-0.4,-0.24,8.4,11.2,-2.7,-0.36,-0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,12,1.61,7,3,2,0,0,0,0,0.0,0,0,0,0,0,0
Rolando Aarons,eng ENG,MFFW,21.0,4,3,1,0,4,6,66.7,2,3,0,3,5,0,0,0.0,0.0,0,1,3,1,2,0,0,0,9,1,3,25.0,29,44,65.9,376,77,24,30,80.0,2,5,40.0,2,3,66.7,0,0.0,0.0,0.0,0,2,1,1,0,4,139.0,35.0,4.1,1,,0.0,3,,7,0.25,1.0,2.0,-1.0,-0.65,-0.46,0.4,2.9,-2.6,-1.66,-1.43,0,2,0,0.0,1.29,0.0,0.0,,19.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,1,0.65,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Islam Slimani,dz ALG,FW,29.0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,1.0,0.0,0,0,3,0,4,0,0,0,4,3,10,23.1,29,49,59.2,368,101,19,26,73.1,7,13,53.8,1,3,33.3,0,0.4,0.5,-0.4,4,1,1,0,3,4,132.0,33.0,3.9,1,,0.0,3,,0,1.5,2.0,1.0,1.0,0.68,0.93,2.0,0.9,1.1,0.75,1.07,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,8,5.45,6,0,1,0,1,0,1,0.68,1,0,0,0,0,0
JesÃºs GÃ¡mez,es ESP,DF,32.0,4,1,0,3,1,3,33.3,2,2,0,2,6,5,0,0.0,0.0,0,0,1,0,5,0,0,0,6,1,0,100.0,47,61,77.0,730,420,21,22,95.5,18,22,81.8,5,11,45.5,0,0.2,0.1,-0.2,4,5,3,1,9,2,98.0,49.0,2.9,1,,1.0,1,,9,1.5,1.0,0.0,1.0,0.92,1.16,1.3,1.2,0.1,0.08,0.38,0,1,0,0.0,0.92,0.0,0.0,,19.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,7,6.43,5,1,1,0,0,0,1,0.92,1,0,0,0,0,0
Henri Saivet,sn SEN,MF,26.0,5,4,1,0,2,5,40.0,3,0,0,0,9,8,1,0.0,0.0,0,0,0,0,2,0,0,0,4,2,1,66.7,15,26,57.7,215,29,9,10,90.0,4,9,44.4,1,5,20.0,0,0.0,0.0,0.0,0,1,0,0,0,1,83.0,83.0,2.4,1,,0.0,0,,3,3.0,3.0,2.0,1.0,1.08,1.33,1.7,1.9,-0.3,-0.28,0.0,1,1,1,100.0,1.08,1.08,1.0,1.0,29.5,1,0,0,0.1,0.1,0.05,1.0,1.0,1,1.08,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Aleksandar MitroviÄ,rs SRB,FW,22.0,1,0,1,0,0,1,0.0,1,1,0,1,1,2,0,0.0,0.0,0,3,5,1,0,0,0,0,4,6,9,40.0,40,55,72.7,496,72,24,30,80.0,13,18,72.2,0,0,,0,0.2,0.3,-0.2,3,1,0,0,4,6,95.0,16.0,2.8,0,,0.0,6,,4,1.17,4.0,0.0,4.0,3.79,4.11,2.0,1.0,1.0,0.96,1.28,1,4,2,50.0,3.79,1.89,0.25,0.5,9.6,0,0,0,1.2,1.2,0.3,-0.2,-0.2,5,4.79,4,0,1,0,0,0,1,0.96,0,0,1,0,0,0
Massadio HaÃ¯dara,ml MLI,FW,24.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,2,2,100.0,17,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,1,4.0,4.0,0.1,0,,0.0,1,,6,3.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,-0.65,-0.37,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,25.6,645,338,255,52,221,638,34.6,417,475,117,358,1086,1219,17,,,1,409,369,63,616,1,6,3,2021,884,927,48.8,11071,15659,70.7,199740,86123,5153,6161,83.6,4100,5358,76.5,1385,3119,44.4,29,32.1,26.1,-3.1,321,911,220,75,899,38,3420.0,90.0,100.0,418,,,112,0.0,154,1.16,39.0,47.0,-8.0,-0.21,,41.6,52.4,-10.8,-0.28,,38,450,146,32.4,11.84,3.84,0.08,0.26,19.2,21,0,1,41.6,40.9,0.09,-3.6,-2.9,782,20.58,561,72,45,45,39,20,63,1.66,43,7,2,10,1,0
