Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Kenedy,br BRA,MFDF,21,31,16,13,2,12,35,34.3,23,12,1,11,45,11,0,1,0,0,15,20,0,38,1,0,0,84,2,17,10.5,297,408,72.8,4218,1296,174,208,83.7,84,119,70.6,20,41,48.8,2,1.7,1.8,0.3,13,14,12,6,16,13,1023,79,29.9,13,0,6,0,0,0,1.38,13,9,4,0.35,0.8,14.2,12,2.2,0.19,0.68,2,23,5,21.7,2.02,0.44,0.09,0.4,21.6,1,0,0,2.4,2.4,0.1,-0.4,-0.4,38,3.34,20,7,5,3,2,1,3,0.26,1,1,0,1,0,0
George Baldock,gr GRE,DF,26,62,35,17,10,27,47,57.4,20,26,3,23,96,83,3,7,0,0,47,44,11,128,1,0,0,167,38,57,40,1143,1522,75.1,15916,5444,719,795,90.4,323,417,77.5,55,162,34,3,1.7,2.3,1.3,23,66,46,30,74,38,3420,90,100,38,90,38,0,0,0,1.42,39,39,0,0,0,43,51,-7.9,-0.21,0,2,13,4,30.8,0.34,0.11,0.15,0.5,16.9,0,0,0,0.6,0.6,0.05,1.4,1.4,71,1.87,54,5,6,0,6,0,6,0.16,4,0,1,0,1,0
Enda Stevens,ie IRL,DF,29,81,48,26,7,42,96,43.8,54,27,8,19,116,71,3,7,0,0,39,19,2,123,0,0,0,226,31,31,50,1383,1902,72.7,21879,8369,785,905,86.7,465,626,74.3,107,246,43.5,4,5.3,4.2,-1.3,34,110,46,12,136,38,3345,88,97.8,38,88,36,0,0,0,1.42,39,39,0,0,0,41.7,48.7,-7,-0.19,0.89,2,22,4,18.2,0.59,0.11,0.09,0.5,17.8,0,0,0,1.3,1.3,0.06,0.7,0.7,76,2.04,62,5,5,2,2,0,9,0.24,8,0,1,0,0,0
Chris Basham,eng ENG,DF,31,85,58,20,7,48,81,59.3,33,38,15,23,162,173,1,4,0,0,26,31,5,51,0,1,0,188,107,62,63.3,1091,1546,70.6,18241,6389,531,614,86.5,434,638,68,91,198,46,1,1.3,1.3,-0.3,12,83,8,4,60,38,3242,85,94.8,38,85,25,0,0,0,1.42,33,37,-4,-0.11,-2.13,39.1,47.2,-8.1,-0.22,-0.29,0,6,0,0,0.17,0,0,0,13.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,27,0.75,24,1,2,0,0,0,3,0.08,3,0,0,0,0,0
John Egan,ie IRL,DF,26,44,34,10,0,25,45,55.6,20,39,27,12,102,171,4,5,1,1,34,20,1,2,0,1,0,177,133,77,63.3,1040,1302,79.9,22170,7127,298,349,85.4,556,644,86.3,177,279,63.4,0,0.4,0.5,-0.4,1,56,1,0,49,36,3187,89,93.2,36,89,34,0,0,0,1.47,36,30,6,0.17,2.49,40.8,45.8,-5,-0.14,0.98,2,27,4,14.8,0.76,0.11,0.07,0.5,9.4,0,0,0,2.7,2.7,0.1,-0.7,-0.7,11,0.31,6,0,0,5,0,0,1,0.03,0,0,0,1,0,0
Jack O'Connell,eng ENG,DF,25,23,15,6,2,10,20,50,10,38,17,21,65,154,1,4,0,0,22,17,2,51,0,0,0,184,133,63,67.9,1214,1683,72.1,22777,9736,540,617,87.5,499,637,78.3,152,348,43.7,1,3.1,2.4,-2.1,16,113,25,7,96,33,2916,88,85.3,32,90,32,1,36,0,1.52,35,28,7,0.22,1.47,37.9,41.5,-3.6,-0.11,0.67,0,14,2,14.3,0.43,0.06,0,0,10.9,0,0,0,1,1,0.07,-1,-1,29,0.9,26,0,0,2,1,0,2,0.06,2,0,0,0,0,0
Tyrone Mings,eng ENG,DF,26,15,11,3,1,10,13,76.9,3,56,48,8,45,190,4,7,0,0,20,11,2,7,0,1,0,201,67,44,60.4,1085,1400,77.5,23447,8851,290,329,88.1,624,680,91.8,158,355,44.5,2,0.7,0.4,1.3,7,57,4,1,51,33,2902,88,84.9,33,88,32,0,0,0,0.97,36,53,-17,-0.53,1.04,38.3,53.2,-14.9,-0.46,1.03,2,8,3,37.5,0.25,0.09,0.25,0.67,9.9,0,0,0,0.8,0.8,0.1,1.2,1.2,17,0.53,16,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Matt Targett,eng ENG,DFMF,23,52,37,11,4,22,53,41.5,31,28,8,20,108,82,0,4,0,0,27,17,0,81,0,0,0,122,36,37,49.3,883,1229,71.8,14497,6305,485,543,89.3,305,421,72.4,75,193,38.9,2,2.6,2.8,-0.6,26,76,27,11,105,28,2291,82,67,27,83,22,1,54,2,1,30,40,-10,-0.39,0.88,31.7,45.3,-13.6,-0.54,0.25,1,7,4,57.1,0.27,0.16,0.14,0.25,16.5,1,0,0,0.4,0.4,0.06,0.6,0.6,60,2.36,48,8,0,1,1,2,5,0.2,4,0,0,1,0,0
Ezri Konsa,eng ENG,DF,21,18,12,6,0,7,16,43.8,9,34,24,10,43,70,2,3,0,0,17,32,1,13,0,1,0,100,47,45,51.1,677,877,77.2,12291,4688,280,320,87.5,331,400,82.8,58,129,45,2,1,0.3,1,11,42,5,5,35,25,2039,82,59.6,24,84,19,1,16,13,1.08,23,39,-16,-0.71,-0.05,24.1,39.6,-15.5,-0.69,-0.17,1,11,4,36.4,0.49,0.18,0.09,0.25,13,0,0,0,1.5,1.5,0.13,-0.5,-0.5,15,0.66,9,1,1,2,2,0,1,0.04,0,0,0,1,0,0
Frederic Guilbert,fr FRA,DFMF,24,74,48,20,6,36,67,53.7,31,33,10,23,123,74,2,7,0,0,36,21,2,91,0,0,0,104,46,68,40.4,679,1046,64.9,11643,4660,355,445,79.8,242,365,66.3,68,169,40.2,2,1.5,0.9,0.5,13,66,21,14,56,25,2041,82,59.7,22,88,19,3,35,6,1.04,29,36,-7,-0.31,0.93,27.8,43.3,-15.4,-0.68,-0.15,0,8,3,37.5,0.35,0.13,0,0,21.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,39,1.72,33,5,0,1,0,0,5,0.22,4,1,0,0,0,0
