Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off
Sam Greenwood,eng ENG,MFFW,19,7,237,34,6.9,2.6,1,84,0,6,26,14,1.57,7,5,+2,+0.76,+1.86,4.6,4.4,+0.2,+0.07,+0.72
Lewis Bate,eng ENG,MF,18,3,146,49,4.3,1.6,1,58,0,2,44,13,1.00,3,4,-1,-0.62,+0.37,2.1,3.0,-0.9,-0.55,+0.05
Charlie Cresswell,eng ENG,DF,18,5,141,28,4.1,1.6,1,90,1,4,13,26,1.40,4,4,0,0.00,+1.02,3.0,3.3,-0.3,-0.22,+0.40
Cody Drameh,eng ENG,DFMF,19,3,128,43,3.7,1.4,1,90,1,2,19,7,1.00,1,6,-5,-3.52,-2.64,1.8,4.6,-2.7,-1.91,-1.36
Leo Fuhr Hjelde,no NOR,MFDF,17,2,150,75,4.4,1.7,0,,0,2,75,14,1.50,2,5,-3,-1.80,-0.86,2.7,4.9,-2.3,-1.35,-0.79
Crysencio Summerville,nl NED,MFFW,19,6,130,22,3.8,1.4,0,,0,6,22,19,0.83,3,1,+2,+1.38,+2.45,3.2,1.8,+1.4,+1.00,+1.66
Kristoffer Klaesson,no NOR,GK,20,1,36,36,1.1,0.4,0,,0,1,36,37,3.00,3,0,+3,+7.50,+8.56,1.6,0.2,+1.4,+3.39,+4.03
H̩lder Costa,ao ANG,MF,27,1,22,22,0.6,0.2,0,,0,1,22,2,0.00,0,0,0,0.00,+0.98,0.3,0.0,+0.3,+1.29,+1.90
Liam McCarron,sct SCO,FW,20,1,10,10,0.3,0.1,0,,0,1,10,10,0.00,0,1,-1,-9.00,-8.05,0.0,0.3,-0.3,-3.07,-2.47
Stuart McKinstry,sct SCO,MF,18,1,4,4,0.1,0.0,0,,0,1,4,8,0.00,0,0,0,0.00,+0.97,0.0,0.0,0.0,-0.53,+0.07
Nohan Kenneh,eng ENG,DFMF,18,0,,,0.0,0.0,0,,0,0,,13,3.00,3,2,+1,,,,,,,
Archie Gray,eng ENG,MF,15,0,,,,,0,,0,0,,6,,,,,,,,,,,
Jack Jenkins,eng ENG,MF,19,0,,,,,0,,0,0,,9,,,,,,,,,,,
Kris Moore,eng ENG,DF,17,0,,,,,0,,0,0,,4,,,,,,,,,,,
Squad Total,,,26.1,38,3420,90,100,38.0,418,82,312,106,29,234,1.00,42,79,-37,-0.97,,50.4,73.2,-22.8,-0.60,
