,Player,Nation,Pos,Age,AerialDuelWon%,ShortCmp%,MediumCmp%,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,Gls,Sh,SoT,SoT%,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld
10,Tyler Roberts,wls WAL,MFFW,21.0,45.2,82.0,74.8,43.5,2,2.3,1.1,-0.3,16,29,17,1,33,1,26,12,46.2,1.8,1.8,0.07,-0.8,-0.8,29,0,3,1,6,0,2,0,0,0,0
11,Rodrigo,es ESP,MFFW,29.0,41.1,84.1,75.6,65.6,2,3.5,2.7,-1.5,31,42,21,3,57,7,46,18,39.1,5.1,5.1,0.11,1.9,1.9,52,0,4,8,2,2,4,0,1,3,0
13,HÃ©lder Costa,ao ANG,MFFW,26.0,14.8,85.4,77.3,23.8,3,0.6,0.6,2.4,8,4,10,2,19,3,16,6,37.5,2.2,2.2,0.14,0.8,0.8,14,0,2,1,2,0,5,0,0,0,1
1,Matt Ritchie,sct SCO,MFFW,27.0,28.9,85.7,66.9,38.6,5,6.0,4.7,-1.0,52,65,28,14,81,3,59,16,27.1,3.1,3.1,0.05,-0.1,-0.1,63,25,5,7,6,1,3,4,0,1,0
3,Ayoze PÃ©rez,es ESP,MFFW,24.0,33.1,79.8,68.3,36.4,5,4.7,2.5,0.3,36,47,17,2,42,8,60,23,38.3,6.2,6.2,0.1,1.8,1.8,61,0,3,8,9,4,7,0,0,3,0
7,Dwight Gayle,eng ENG,FW,26.0,42.4,76.9,73.0,32.0,3,2.0,1.2,1.0,21,17,3,0,15,6,57,21,36.8,8.3,8.3,0.16,-2.3,-2.3,36,0,1,6,4,0,5,0,0,1,0
9,Christian Atsu,gh GHA,FWMF,25.0,16.0,85.9,64.2,36.8,2,2.6,2.0,-0.6,25,21,16,3,33,2,35,12,34.3,4.0,4.0,0.12,-2.0,-2.0,38,1,8,1,5,1,3,0,1,1,1
11,Joselu,es ESP,FW,27.0,54.5,68.7,53.6,56.5,1,1.2,0.5,-0.2,16,34,6,1,31,4,46,16,34.8,6.0,5.2,0.11,-2.0,-1.2,33,0,1,2,4,0,1,0,0,0,0
15,Jacob Murphy,eng ENG,MFFW,22.0,22.6,74.1,60.9,31.1,1,1.3,1.0,-0.3,10,15,14,5,28,1,22,7,31.8,1.8,1.8,0.08,-0.8,-0.8,18,1,4,3,2,0,2,0,0,1,0
8,Oliver McBurnie,sct SCO,FW,23.0,50.5,65.2,63.1,56.3,0,1.1,1.8,-1.1,10,38,10,1,37,6,50,24,48.0,7.7,7.7,0.15,-1.7,-1.7,21,0,2,7,1,0,0,0,0,2,0
9,David McGoldrick,ie IRL,FW,31.0,40.5,82.3,74.8,56.8,2,2.3,1.3,-0.3,17,29,11,3,22,2,46,20,43.5,8.0,8.0,0.17,-6.0,-6.0,29,1,8,3,1,0,4,0,2,0,0
11,Lys Mousset,fr FRA,FW,23.0,23.9,79.7,75.4,42.9,4,3.2,1.2,0.8,12,8,5,1,11,6,37,9,24.3,5.5,5.5,0.15,0.5,0.5,16,0,7,4,2,1,3,0,0,1,0
12,Billy Sharp,eng ENG,FW,33.0,32.8,80.8,73.5,50.0,2,2.3,1.1,-0.3,14,3,9,1,13,3,16,7,43.8,3.8,3.8,0.24,-0.8,-0.8,22,0,5,1,3,0,2,0,0,0,0
0,Jack Grealish,eng ENG,FWMF,23.0,43.5,89.0,84.7,58.5,6,7.4,6.5,-1.4,91,102,68,7,139,8,72,23,31.9,6.8,6.0,0.08,1.2,2.0,135,20,14,2,25,1,12,1,2,0,3
5,Anwar El Ghazi,nl NED,FWMF,24.0,35.2,79.6,58.1,48.8,4,2.7,1.9,1.3,30,20,21,14,28,4,51,19,37.3,6.2,5.4,0.11,-2.2,-2.4,39,7,5,5,3,0,4,0,2,0,0
8,Wesley Moraes,br BRA,FW,22.0,43.9,75.6,74.2,69.2,1,1.0,0.7,0.0,11,17,1,0,10,5,34,17,50.0,6.4,5.5,0.16,-1.4,-0.5,25,0,2,4,1,0,3,0,0,0,0
9,TrÃ©zÃ©guet,eg EGY,FWMF,24.0,38.9,82.9,58.4,45.7,1,1.0,1.2,0.0,21,19,13,7,28,6,50,17,34.0,4.7,4.7,0.09,1.3,1.3,32,4,7,7,5,0,1,0,1,0,2
16,Mbwana Samatta,tz TAN,FW,26.0,35.7,76.8,54.0,90.0,0,0.6,0.2,-0.6,10,8,2,0,9,1,17,3,17.6,2.3,2.3,0.14,-1.3,-1.3,11,0,1,1,3,1,0,0,0,0,0
2,RaÃºl JimÃ©nez,mx MEX,FW,27.0,42.5,80.0,72.7,60.0,7,6.3,4.0,0.7,42,48,30,5,68,13,109,31,28.4,15.1,13.6,0.13,-2.1,-2.6,70,0,7,7,3,1,9,0,0,1,1
8,Diogo Jota,pt POR,FWMF,21.0,28.4,82.8,70.0,63.8,5,5.3,3.8,-0.3,27,45,18,3,48,9,58,24,41.4,8.8,8.8,0.15,0.2,0.2,53,1,12,10,13,0,5,0,2,3,2
10,HÃ©lder Costa,ao ANG,FWMF,24.0,22.2,86.1,74.8,39.4,2,2.2,1.1,-0.2,17,16,16,1,27,1,25,7,28.0,2.4,2.4,0.1,-1.4,-1.4,26,2,6,0,4,1,4,0,0,0,0
12,Adama TraorÃ©,es ESP,FWMF,22.0,38.6,81.6,72.9,59.1,1,2.2,2.3,-1.2,17,12,17,11,23,1,19,7,36.8,1.3,1.3,0.07,-0.3,-0.3,27,0,10,3,3,0,1,0,0,1,0
4,Pascal GroÃ,de GER,FWMF,26.0,17.6,85.0,68.3,46.3,8,8.3,6.1,-0.3,82,86,39,16,91,7,43,19,44.2,3.3,2.5,0.06,3.7,3.5,78,47,3,4,2,0,10,3,0,0,0
5,Anthony Knockaert,fr FRA,MFFW,25.0,44.1,87.3,80.1,48.4,1,3.2,3.1,-2.2,32,45,30,5,85,3,46,12,26.1,4.1,4.1,0.09,-1.1,-1.1,58,8,12,2,4,0,8,0,0,0,0
7,Glenn Murray,eng ENG,FW,33.0,44.6,58.2,58.0,26.9,0,1.6,1.2,-1.6,17,23,6,0,25,12,47,19,40.4,11.9,7.5,0.16,0.1,0.5,32,0,2,3,5,1,2,0,0,0,2
9,JosÃ© Izquierdo,co COL,MFFW,25.0,33.3,81.7,73.2,37.5,3,2.2,1.7,0.8,21,21,15,5,31,5,52,16,30.8,3.8,3.8,0.07,1.2,1.2,47,0,12,6,2,0,3,0,3,2,1
10,Solly March,eng ENG,MFFW,23.0,31.1,82.5,71.8,49.6,1,1.4,1.8,-0.4,18,33,19,9,39,1,28,9,32.1,1.5,1.5,0.05,-0.5,-0.5,36,6,4,0,2,0,3,0,0,0,1
13,Tomer Hemed,il ISR,FW,30.0,43.7,70.6,53.8,50.0,2,0.1,0.1,1.9,3,8,1,0,9,2,17,7,41.2,1.9,1.9,0.11,0.1,0.1,5,0,0,1,1,0,2,0,0,0,0
